State,Primary_Boys,Primary_Girls,Primary_Total,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total
Andaman & Nicobar Islands,36394,34956,71350,31090,29436,60526,23708,21974,45682,26092,21648,47740
Andhra Pradesh,9282982,8861614,18144596,6762528,6359470,13121998,4972272,4555140,9527412,5033304,4642860,9676164
Arunachal Pradesh,155556,148140,303696,105520,102640,208160,80270,75262,155532,72484,66156,138640
Assam,3540552,3387956,6928508,2527890,2387198,4915088,1919852,1748074,3667926,1796684,1607928,3404612
Bihar,12681882,11200324,23882206,7773106,6659834,14432940,5861856,4655750,10517606,5286322,4153706,9440028
Chandigarh,99200,82986,182186,76002,64018,140020,60076,46724,106800,70072,47482,117554
Chhattisgarh,2682358,2595854,5278212,1980728,1891176,3871904,1393298,1313286,2706584,1285294,1168442,2453736
Dadra & Nagar Haveli,24952,23612,48564,17696,15948,33644,12580,11144,23724,14160,10728,24888
Daman & Diu,15088,13960,29048,11182,10100,21282,8772,7932,16704,14072,8100,22172
Delhi,1665316,1440236,3105552,1253046,1101616,2354662,961050,803786,1764836,1055780,777110,1832890
Goa,114706,110672,225378,95124,90764,185888,73158,70752,143910,81150,75564,156714
Gujarat,6115052,5417992,11533044,4514020,3988430,8502450,3463130,3112728,6575858,3510684,3083526,6594210
Haryana,2869188,2419712,5288900,2186226,1916936,4103162,1630808,1375564,3006372,1637336,1238092,2875428
Himachal Pradesh,690668,639782,1330450,566206,541230,1107436,406608,392442,799050,409838,377550,787388
Jammu And Kashmir,1361074,1274034,2635108,1023930,960844,1984774,840012,793244,1633256,781086,735786,1516872
Jharkhand,3830302,3575592,7405894,2569246,2350602,4919848,1912160,1640880,3553040,1730516,1474800,3205316
Karnataka,6010224,5831922,11842146,4885974,4632166,9518140,3703982,3326824,7030806,3704640,3311832,7016472
Kerala,2669498,2563670,5233168,2443202,2357652,4800854,1781038,1737572,3518610,1832628,1843450,3676078
Lakshadweep,7204,6612,13816,6410,5824,12234,4282,4098,8380,3998,3776,7774
Madhya Pradesh,8317256,7656120,15973376,5972308,5244176,11216484,4367358,3613620,7980978,4136024,3308374,7444398
Maharashtra,11195482,10402054,21597536,9130000,8248914,17378914,6548732,5591640,12140372,6718974,5435140,12154114
Manipur,247046,235360,482406,195816,188886,384702,155268,153540,308808,152402,154954,307356
Meghalaya,328818,317880,646698,236638,233012,469650,176192,172518,348710,166174,159468,325642
Mizoram,106956,102636,209592,84174,82168,166342,63478,62560,126038,62446,61558,124004
Nagaland,277684,254356,532040,217894,200494,418388,184064,168370,352434,184054,166806,350860
Odisha,4415538,4202368,8617906,3201326,3100218,6301544,2285382,2326586,4611968,2214708,2255314,4470022
Puducherry,90778,86340,177118,75226,72970,148196,55056,53196,108252,60982,59402,120384
Punjab,3028422,2514488,5542910,2289448,1997878,4287326,1733636,1510720,3244356,1807260,1492268,3299528
Rajasthan,8140770,7248122,15388892,5544678,4899842,10444520,4117048,3553526,7670574,3862214,3207328,7069542
Sikkim,68012,65722,133734,56930,55330,112260,40112,40418,80530,41502,38558,80060
Tamil Nadu,6020090,5694540,11714630,4759928,4541780,9301708,3546696,3438884,6985580,3761078,3675874,7436952
Tripura,393652,375032,768684,322962,309472,632434,241152,230096,471248,226144,210590,436734
Uttar Pradesh,25226196,22055468,47281664,16360506,14281512,30642018,12541520,10445642,22987162,11851372,9249118,21100490
Uttarakhand,1118016,1031426,2149442,851928,800132,1652060,634428,596612,1231040,622922,559860,1182782
West Bengal,9777492,9281392,19058884,7253460,6877944,14131404,5422876,4900826,10323702,5329846,4499758,9829604
All India,132604404,121152930,253757334,95382348,86600612,181982960,71221910,62551930,133773840,69544242,59182906,128727148
